标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
信成道二期精装小三房中间楼层，采光好拎包入住,万科信成道二期 ,海岸城/市民中心, 194.5万,"22,249元/平",3室1厅 , 87.42平米 , 南 , 精装 , 中楼层,共34层, 板楼
融创玉兰系法式洋房，精装大三居，中间楼层,融创山湖院墅 ,融创文化旅游城, 270万,"18,454元/平",3室2厅 , 146.31平米 , 南 , 精装 , 中楼层,共7层, 板楼
二期沿河好楼层户型好双阳台视野好前后无遮挡,中海凤凰璟园二期 ,华庄, 385万,"26,986元/平",4室1厅 , 142.67平米 , 南 , 毛坯 , 高楼层,共11层, 板楼
中锐星公元小高层，四开间朝南，户型好得房率高,中锐星公元 ,塘铁桥, 470万,"33,046元/平",4室2厅 , 142.23平米 , 南 , 精装 , 高楼层,共18层, 板楼
仙河苑二期商品房出售精装修中间楼层满五唯一,仙河苑二期 ,融创文化旅游城, 95万,"9,612元/平",2室2厅 , 98.84平米 , 南 北 , 精装 , 高楼层,共18层, 板楼
万科二区精装修大三房 满五年 采光好 交通便利,魅力万科城二区 ,万象城/东绛, 232万,"18,981元/平",3室1厅 , 122.23平米 , 南 , 精装 , 低楼层,共6层, 板楼
院子可用空间大，将近百平  光照足无遮挡 南北通透,魅力万科城二区 ,万象城/东绛, 290万,"22,341元/平",3室2厅 , 129.81平米 , 南 北 , 精装 , 低楼层,共8层, 板楼
万科海上传奇 精装洋房 近海岸城万象城 周新古镇,万科海上传奇 ,万象城/东绛, 285万,"24,403元/平",3室1厅 , 116.79平米 , 南 , 精装 , 中楼层,共9层, 板楼
落霞苑2楼大三房全天采光带车库,落霞苑第一社区 ,塘铁桥, 100万,"10,454元/平",3室1厅 , 95.66平米 , 东南 , 毛坯 , 低楼层,共6层, 板楼
听香水榭大三房 位置安静 街区环境好 诚意出售,魅力万科城一区 ,万象城/东绛, 295万,"20,832元/平",3室2厅 , 141.61平米 , 南 北 , 精装 , 中楼层,共11层, 板楼
