标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
洛城精装大三房 中上楼层 全天采光 房东置换诚心出售,洛城·水韵园 ,洛社, 129万,"10,331元/平",3室2厅 , 124.87平米 , 南 , 精装 , 中楼层,共31层, 板楼
楼层采光好，成熟社区，地铁口交通便利 商品房无土出,丰涵家园 ,刘潭, 145万,"11,456元/平",3室2厅 , 126.58平米 , 南 北 , 精装 , 低楼层,共18层, 板楼
精装朝南两房，双地铁出行方便，房东诚心出售,万荟城 ,刘潭, 51万,"7,046元/平",2室2厅 , 72.39平米 , 南 , 精装 , 中楼层,共29层, 板楼
阳光壹佰国际城采光好楼层好看房方便的,阳光100国际新城北区 ,西漳, 150万,"11,273元/平",3室2厅 , 133.07平米 , 南 , 精装 , 中楼层,共10层, 板楼
榭丽花园 三房两厅两卫 诚心出售 看房方便,榭丽花园B区 ,前洲, 72万,"5,500元/平",3室2厅 , 130.91平米 , 南 , 简装 , 低楼层,共18层, 暂无数据
美的国宾府精装大三房 户型方正 三开间朝南,美的国宾府 ,西漳, 215万,"18,486元/平",3室2厅 , 116.31平米 , 南 北 , 精装 , 高楼层,共34层, 板塔结合
玉兰公馆次新小区 中上楼层 户型方正 三房两卫,玉兰公馆一区 ,堰桥, 139万,"14,456元/平",3室2厅 , 96.16平米 , 东南 , 毛坯 , 中楼层,共32层, 板楼
精装三房，户型难得，首付30万 包车位,时代城（锡溪名邸） ,钱桥, 145万,"12,757元/平",3室2厅 , 113.67平米 , 南 , 精装 , 中楼层,共29层, 板楼
全新小区，位置好，房东诚心卖，无增值税,万科天一新著 ,西漳, 152万,"16,264元/平",3室1厅 , 93.46平米 , 南 北 , 精装 , 中楼层,共27层, 板楼
自住精装  户型方正 小高层中间楼层 房东诚心出售,新街家园 ,刘潭, 78万,"9,040元/平",2室2厅 , 86.29平米 , 南 北 , 精装 , 高楼层,共18层, 板塔结合
宝龙精装大三房带地下车位，随时看房，价格可谈,宝龙香槟湖 ,玉祁, 135万,"10,375元/平",3室2厅 , 130.13平米 , 南 , 精装 , 中楼层,共30层, 板楼
洛城德院 翻新装修南北通风 好楼层,洛城德院 ,洛社, 89.5万,"9,357元/平",2室2厅 , 95.66平米 , 北 , 精装 , 中楼层,共18层, 板楼
：房子满五年且唯一 中高楼层采光好 房东诚心出售,阳光100国际新城南区 ,刘潭, 112万,"11,024元/平",3室2厅 , 101.6平米 , 南 , 精装 , 中楼层,共11层, 板塔结合
精装四房，景观楼层。户型方正，采光充足,百大春城花园南区 ,堰桥, 178万,"12,737元/平",4室2厅 , 139.76平米 , 南 , 精装 , 高楼层,共9层, 板楼
次新房中高楼层 产权清晰诚心出售 价格看中可谈,阳光100国际新城南区 ,刘潭, 62万,"9,384元/平",2室2厅 , 66.07平米 , 东 , 简装 , 中楼层,共28层, 板塔结合
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名筑） ,钱桥, 129.9万,"11,371元/平",3室2厅 , 114.24平米 , 南 , 精装 , 中楼层,共28层, 塔楼
融创银城   次新小区 毛坯小户型  户型南北通风,融创银城惠山国际社区 ,洛社, 85万,"10,561元/平",2室2厅 , 80.49平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
洋房.低密度别墅社区临地铁医疗配套成熟,天池湾 ,西漳, 280万,"20,809元/平",3室2厅 , 134.56平米 , 南 , 精装 ,,, 板塔结合
万科品牌，开发商硬装交付，看房随时,万科天一玖著 ,西漳, 165万,"17,331元/平",3室1厅 , 95.21平米 , 南 , 精装 , 低楼层,共34层, 板楼
地铁口新街家园，精装自住 房东诚心出售,新街家园 ,刘潭, 90万,"10,163元/平",2室2厅 , 88.56平米 , 东南 , 精装 , 高楼层,共32层, 板塔结合
楼层好，采光充足，视野通透 商品房70年产权,明发商业广场 ,西漳, 35.5万,"8,665元/平",1室1厅 , 40.97平米 , 东 , 简装 , 中楼层,共17层, 塔楼
此房精装修 拎包入住 房东诚心出售 看房方便,百乐和园 ,钱桥, 142万,"15,902元/平",3室2厅 , 89.3平米 , 东南 , 精装 , 低楼层,共31层, 板楼
玉兰公馆三区精装小三房 位置好 采光好 拎包即住,玉兰公馆三区 ,堰桥, 136万,"15,723元/平",3室1厅 , 86.5平米 , 南 北 , 精装 , 低楼层,共33层, 平房
悦湖园精装二房户型方正装修保养好房东诚售,洛城·悦湖园 ,洛社, 100万,"10,210元/平",2室2厅 , 97.95平米 , 南 , 精装 , 低楼层,共22层, 板楼
动静分离，无浪费空间高使用率，楼层好，采光充分适合,时代城（锡溪名邸） ,钱桥, 121万,"12,349元/平",3室2厅 , 97.99平米 , 南 北 , 精装 , 低楼层,共34层, 暂无数据
龙韵怡景苑 满五唯一 地铁口 出行方便 户型方正,龙韵怡景苑 ,钱桥, 99.8万,"10,466元/平",2室1厅 , 95.36平米 , 南 , 精装 , 高楼层,共6层, 板楼
天一城，大三房，满五唯一，楼层好，装修好房东诚心卖,天一城A区东区 ,西漳, 155万,"12,082元/平",3室2厅 , 128.3平米 , 南 , 精装 , 中楼层,共18层, 板楼
次新小区 三开间朝南，业主诚意出售， 价格可谈!,理想城市花园九期 ,堰桥, 159万,"15,311元/平",3室2厅 , 103.85平米 , 南 北 , 毛坯 , 中楼层,共24层, 暂无数据
洛社次新商品房、楼层好、位置佳、配套齐全交通便利,融创银城惠山国际社区 ,洛社, 105万,"12,860元/平",2室1厅 , 81.65平米 , 南 , 精装 , 低楼层,共33层, 板楼
龙湖好房的代表，视野开阔日照好，有车位，东西已清空,龙湖天宸原著 ,堰桥, 222万,"17,664元/平",4室2厅 , 125.68平米 , 南 北 , 精装 , 中楼层,共18层, 板楼
太平洋！采光好！视野好！地铁口！纯毛坯，诚心出售,太平洋城中城 ,西漳, 129万,"13,459元/平",3室2厅 , 95.85平米 , 南 , 毛坯 , 高楼层,共34层, 板塔结合
天一城 精装修大三房 楼层好 采光视线好,天一城A区 ,西漳, 150万,"10,937元/平",3室1厅 , 137.16平米 , 南 , 简装 , 高楼层,共17层, 板楼
金科集美壹品电梯精装房真实在售,金科集美壹品 ,钱桥, 189万,"14,622元/平",4室2厅 , 129.26平米 , 南 , 精装 , 中楼层,共17层, 板楼
洛城幼儿园旁精装大三房 保养好 中上楼层 采光好,洛城雅锦园 ,洛社, 146万,"11,334元/平",3室2厅 , 128.82平米 , 南 , 精装 , 高楼层,共26层, 板楼
高层视野开阔，精装保养新，家具家电齐全，交通方便,阳光100国际新城北区 ,西漳, 80万,"8,995元/平",2室2厅 , 88.94平米 , 东 , 精装 , 中楼层,共33层, 板塔结合
开发商精装 全天采光 看房有钥匙,无锡公园悦府 ,堰桥, 119万,"12,420元/平",3室2厅 , 95.82平米 , 南 , 精装 , 低楼层,共34层, 暂无数据
房东诚心出售，小区前排，视野采光好，价格可以谈,阳光100阿尔勒 ,西漳, 79万,"10,827元/平",2室2厅 , 72.97平米 , 南 , 简装 , 高楼层,共34层, 板楼
诚心出售 看房方便 价格看中可谈,广汇金色华府 ,西漳, 175万,"14,677元/平",3室2厅 , 119.24平米 , 南 北 , 精装 , 低楼层,共31层, 板楼
橡树湾精装三房 自住装修 保养新 好楼层 看房随时,华润橡树湾（一期） ,堰桥, 140万,"14,345元/平",3室2厅 , 97.6平米 , 南 , 精装 , 中楼层,共32层, 板楼
精装修三房楼层好采光好诚心出售,阳光100阿尔勒 ,西漳, 140万,"12,130元/平",3室2厅 , 115.42平米 , 南 , 精装 , 中楼层,共34层, 板楼
惠山新城 品质小区 交通便利 房东诚心出售 看房方便,融创·亚美利加 ,堰桥, 185万,"16,236元/平",4室2厅 , 113.95平米 , 南 , 毛坯 , 中楼层,共11层, 板塔结合
诚售高景观 闹中取静的精装小三房，看中可以谈,绿地世纪城四期 ,堰桥, 153万,"17,019元/平",3室2厅 , 89.9平米 , 北 南 , 精装 , 中楼层,共24层, 板塔结合
洛社新城 纯毛坯 小户型 刚需看房方便 中间楼层,红星天铂 ,洛社, 123万,"13,086元/平",3室2厅 , 94平米 , 南 , 毛坯 , 中楼层,共17层, 暂无数据
国宾府万科旁满五唯一寺头三期前排采光好,寺头家园三期 ,西漳, 88万,"10,332元/平",2室2厅 , 85.18平米 , 南 , 毛坯 , 低楼层,共30层, 塔楼
省锡中 牡丹园公园悦府 精装3房  房东低价卖,无锡公园悦府 ,堰桥, 148万,"12,999元/平",3室2厅 , 113.86平米 , 南 , 精装 , 低楼层,共34层, 板塔结合
洛社街上百业广场东侧 精装大三房出售  随时看房,洛社商城 ,洛社, 85万,"6,590元/平",3室2厅 , 128.99平米 , 南 , 简装 , 高楼层,共6层, 暂无数据
万科天一新著 小高层  一梯一户 四房两厅两卫,万科天一新著 ,西漳, 255万,"20,051元/平",4室2厅 , 127.18平米 , 南 , 精装 , 中楼层,共18层, 暂无数据
次新小区，人车分流，中间楼层，设施齐全，,绿地世纪城四期 ,堰桥, 210万,"14,788元/平",4室2厅 , 142.01平米 , 南 , 毛坯 , 中楼层,共28层, 板塔结合
天一城东区，大三房。楼层好 采光好，视野好诚心卖,天一城A区东区 ,西漳, 142万,"11,068元/平",3室2厅 , 128.3平米 , 南 北 , 精装 , 中楼层,共18层, 板塔结合
万科新著全新未住过 楼层适中 看房方便诚心出售,万科天一新著 ,西漳, 159万,"17,009元/平",3室2厅 , 93.48平米 , 南 北 , 精装 , 低楼层,共26层, 板楼
寺头家园三期 3室2厅 南,寺头家园三期 ,西漳, 138万,"10,148元/平",3室2厅 , 136平米 , 南 , 毛坯 , 中楼层,共33层, 板楼
美的国宾府 精装三房 有地暖 看房随时,美的国宾府 ,西漳, 245万,"20,329元/平",3室2厅 , 120.52平米 , 南 , 精装 , 低楼层,共8层, 暂无数据
楼层好 没住过 九未用 看房方便,无锡公园悦府 ,堰桥, 123万,"12,805元/平",3室2厅 , 96.06平米 , 南 , 精装 , 高楼层,共34层, 暂无数据
中间楼层 交通便利，地铁1号线，南北通，诚心出售！,绿地世纪城四期 ,堰桥, 118.8万,"15,341元/平",3室2厅 , 77.44平米 , 南 北 , 精装 , 低楼层,共33层, 板塔结合
有地铁 交通便利 到万达方便 配套齐全 精装3房 户型好,绿地世纪城一、二期 ,堰桥, 135万,"13,475元/平",3室2厅 , 100.19平米 , 南 , 精装 , 高楼层,共7层, 板楼
精装修洋房 一梯两户通透户型 得房率高 诚售急售,理想城市花园一期 ,堰桥, 162万,"13,727元/平",3室2厅 , 118.02平米 , 南 , 精装 , 低楼层,共6层, 板塔结合
次新小区、人车分流、采光刺眼，视野开阔，装修的,华润橡树湾（四期五期） ,堰桥, 138万,"15,477元/平",3室2厅 , 89.17平米 , 南 , 简装 , 中楼层,共30层, 板楼
此房3开间朝南，20万装修，家具家电全留 房东诚心出售,广汇金色华府 ,西漳, 129万,"13,442元/平",3室2厅 , 95.97平米 , 南 , 简装 , 中楼层,共26层, 板楼
20万全屋品牌定制家具 一天未住 楼层好 诚心出售,万科天一玖著 ,西漳, 169.8万,"18,078元/平",3室2厅 , 93.93平米 , 南 , 精装 , 中楼层,共33层, 板楼
精装公寓 拎包入住  双地铁口 业主诚心出售,万荟城 ,刘潭, 29.5万,"6,523元/平",1室1厅 , 45.23平米 , 南 , 精装 , 中楼层,共29层, 板塔结合
精装修两房，拎包入住，看房方便！,嘉利华府庄园十区 ,堰桥, 98万,"11,172元/平",2室2厅 , 87.72平米 , 南 , 精装 , 低楼层,共30层, 板楼
玉兰公馆一区三房，一梯一户，有100平大露台,玉兰公馆一区 ,堰桥, 138万,"14,352元/平",3室2厅 , 96.16平米 , 南 北 , 简装 , 高楼层,共32层, 板楼
省锡中 带大院子 一梯一户嘉洲花园洋房 有钥匙随时看,嘉洲花园洋房 ,堰桥, 123万,"13,278元/平",2室2厅 , 92.64平米 , 南 , 精装 , 低楼层,共6层, 板塔结合
户型通透，视野好，采光好，楼间距大，房东诚心卖！！,明发·国际新城（西区） ,西漳, 150万,"12,468元/平",3室2厅 , 120.31平米 , 西 , 简装 , 中楼层,共18层, 板楼
楼层好，采光好，视野宽阔，房东诚心卖，冲啊！,明发·国际新城（西区） ,西漳, 126万,"13,574元/平",3室2厅 , 92.83平米 , 南 , 简装 , 中楼层,共11层, 板塔结合
万科新著二期竖厅  中间楼层产权清晰 拎包入住买它！,万科天一新著 ,西漳, 165万,"17,657元/平",3室2厅 , 93.45平米 , 南 , 精装 , 低楼层,共34层, 板楼
金洋奥澜新上纯毛坯  客厅朝南带阳台 业主急售！,金洋·奥澜 ,堰桥, 115万,"11,865元/平",3室2厅 , 96.93平米 , 南 北 , 毛坯 , 低楼层,共31层, 板楼
复试中间楼层 房间大 两卫生间,阳光100国际新城南区 ,刘潭, 68万,"8,691元/平",2室1厅 , 78.25平米 , 东 , 精装 , 中楼层,共33层, 板塔结合
次新房中高楼层视野开阔 采光无遮挡 诚心出售,阳光100阿尔勒 ,西漳, 103万,"10,875元/平",3室2厅 , 94.72平米 , 南 , 精装 , 高楼层,共34层, 板楼
理想次新小区，装修保养好，诚心出售！,理想城市花园十期 ,堰桥, 159万,"13,857元/平",3室2厅 , 114.75平米 , 南 , 精装 , 低楼层,共24层, 板楼
龙湖天钜  精装3房 诚心出售 带家具 价格好谈,龙湖天鉅 ,堰桥, 149万,"14,989元/平",3室2厅 , 99.41平米 , 南 , 精装 , 低楼层,共32层, 板楼
次新小区 毛坯小三室边套南北通风，采光好,融创银城惠山国际社区 ,洛社, 78万,"8,810元/平",3室1厅 , 88.54平米 , 南 , 毛坯 , 高楼层,共33层, 板楼
天河精装大两房，楼层好采光明媚，业主诚心出售,天河小区 ,刘潭, 95万,"11,973元/平",2室1厅 , 79.35平米 , 南 北 , 精装 , 中楼层,共16层, 板楼
太平洋精装小三房位置好，看房方便价格好谈,太平洋城中城 ,西漳, 115万,"12,303元/平",3室2厅 , 93.48平米 , 南 , 简装 , 高楼层,共34层, 板楼
明发国际精装大两房 装修保养好 户型正 拎包入住,明发·国际新城（东区） ,西漳, 114万,"13,020元/平",2室2厅 , 87.56平米 , 南 , 精装 , 高楼层,共11层, 板楼
全新毛坯，3开间朝南，南北通，户型方正,广汇金色华府 ,西漳, 150万,"14,327元/平",3室2厅 , 104.7平米 , 南 , 毛坯 , 高楼层,共26层, 板楼
绿地小高层 中间楼层 视野采光好 有钥匙看房方便,绿地世纪城四期 ,堰桥, 138万,"16,075元/平",2室1厅 , 85.85平米 , 南 , 精装 , 中楼层,共11层, 板塔结合
时代城三期 2楼 采光无遮挡 拿房没住过人有钥匙随时看,时代城（锡溪名筑） ,钱桥, 110万,"11,409元/平",3室2厅 , 96.42平米 , 南 , 精装 ,,, 塔楼
新著大四房，全屋定制衣帽间，装修新，好楼层视野很赞,万科天一新著 ,西漳, 213万,"17,056元/平",4室2厅 , 124.89平米 , 南 北 , 精装 , 高楼层,共34层, 板塔结合
万科天一新著 看房方便 拎包入住 光线全天无遮挡,万科天一新著 ,西漳, 157万,"16,796元/平",3室2厅 , 93.48平米 , 南 , 精装 , 高楼层,共26层, 板楼
新上房源 三开间朝南 带软装基本没怎么使用 楼间距大,玉兰公馆三区 ,堰桥, 145万,"16,426元/平",3室2厅 , 88.28平米 , 南 , 精装 , 低楼层,共32层, 暂无数据
中高楼层 设计师精品装修 中间楼层视野采光佳,广汇金色华府 ,西漳, 158.8万,"16,547元/平",3室2厅 , 95.97平米 , 南 , 精装 , 中楼层,共26层, 板楼
业主置换 单价低 精装交付 品质小区 人车分流,龙湖天宸原著 ,堰桥, 200万,"16,000元/平",4室2厅 , 125平米 , 南 , 精装 , 高楼层,共18层, 板楼
户口可用 满五唯一税少 房东有地下车位近电梯口,理想城市花园九期 ,堰桥, 105万,"11,817元/平",2室2厅 , 88.86平米 , 南 , 精装 , 中楼层,共24层, 板塔结合
总高10 层洋房，楼层好 三开间朝阳，诚心出售,阳光100国际新城北区 ,西漳, 160万,"11,791元/平",3室2厅 , 135.7平米 , 南 , 精装 , 高楼层,共10层, 板楼
精装三房 拎包入住 三开间朝南 双阳台户型,广汇金色华府 ,西漳, 145万,"15,264元/平",3室2厅 , 95平米 , 南 , 精装 , 低楼层,共31层, 板楼
小户型两房设计 朝南总价低 近地铁有菜场 出行方便,理想城市花园一期 ,堰桥, 79万,"13,343元/平",1室1厅 , 59.21平米 , 南 , 精装 , 低楼层,共18层, 板塔结合
此房精装修 楼层视野好 南北双阳台 装修保养好拧包住,理想城市花园十期 ,堰桥, 178万,"15,512元/平",3室2厅 , 114.75平米 , 南 北 , 精装 , 中楼层,共24层, 板楼
此房精装修  拎包入住 房东诚心出售 看中价格可谈,时代城（锡溪名邸） ,钱桥, 142万,"12,600元/平",3室2厅 , 112.7平米 , 南 北 , 精装 ,,, 板楼
楼层好 采光好 视野好 看房随时 诚心出售,阳光100阿尔勒 ,西漳, 77万,"10,478元/平",2室2厅 , 73.49平米 , 南 , 精装 , 高楼层,共34层, 板楼
地铁西漳站 万科天一新著二期 竖厅 小区第二排,万科天一新著 ,西漳, 159万,"17,024元/平",3室1厅 , 93.4平米 , 南 , 精装 , 低楼层,共34层, 板楼
中间10层第二排采光视野好有钥匙随时可以看房,阳光100阿尔勒 ,西漳, 140万,"12,130元/平",3室2厅 , 115.42平米 , 南 , 精装 , 低楼层,共34层, 板楼
理想城市花园九期 3室2厅 南 北,理想城市花园九期 ,堰桥, 165万,"14,355元/平",3室2厅 , 114.95平米 , 南 北 , 精装 , 低楼层,共24层, 板塔结合
生活方便，交通便利，环境优美，精装修，采光好,水岸花城 ,钱桥, 130万,"11,134元/平",3室2厅 , 116.76平米 , 南 , 简装 , 中楼层,共10层, 板楼
中间楼层 家具家电全留 全新未入住 有钥匙 随时看,万科天一玖著 ,西漳, 166万,"17,656元/平",3室1厅 , 94.02平米 , 南 , 精装 , 低楼层,共34层, 板楼
林陆苑三期电梯房 精装2房 干净清爽 户型方正 拎包住,林陆苑小区三期 ,刘潭, 118万,"13,158元/平",2室2厅 , 89.68平米 , 南 , 精装 , 高楼层,共10层, 暂无数据
复地小洋房 得房率高 只卖高层价格看房随时,复地公园城邦 ,堰桥, 110万,"11,000元/平",3室1厅 , 100平米 , 南 , 精装 , 高楼层,共6层, 板楼
太平洋精装小三房  楼层好价格可谈 诚心出售,太平洋城中城 ,西漳, 119万,"12,387元/平",3室2厅 , 96.07平米 , 南 , 精装 , 低楼层,共34层, 板楼
嘉利华府庄园十区 2室2厅 南,嘉利华府庄园十区 ,堰桥, 111万,"12,610元/平",2室2厅 , 88.03平米 , 南 , 简装 , 中楼层,共30层, 板楼
金都花园精装3房坐拥万达生活配套齐全,金都花园 ,堰桥, 150万,"13,141元/平",4室2厅 , 114.15平米 , 南 北 , 精装 , 中楼层,共5层, 板楼
满五唯一，景观楼层，视野宽阔，采光充足,金洋·奥澜 ,堰桥, 115万,"11,954元/平",3室2厅 , 96.21平米 , 南 , 毛坯 , 低楼层,共30层, 板塔结合
