标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
房子户型方正 三开间朝南 精装修房 房东诚心出售,上海花园 ,高新区, 92万,"10,327元/平",3室2厅 , 89.09平米 , 南 , 精装 , 中楼层,共10层, 暂无数据
三开间朝南，户型方正，三房两厅两卫,丽岛华都北区 ,澄江街道, 128万,"9,046元/平",3室2厅 , 141.5平米 , 南 , 精装 , 低楼层,共15层, 板楼
高新区上海花园精装家具家电齐全拎包入住楼层好，边户,上海花园 ,高新区, 120万,"10,528元/平",4室2厅 , 113.99平米 , 南 , 精装 , 中楼层,共7层, 暂无数据
沿街小区 蟠龙湾花园 精装两房 位置楼层好 视野开阔,蟠龙湾 ,高新区, 56万,"6,947元/平",2室2厅 , 80.62平米 , 南 , 精装 , 中楼层,共9层, 板楼
开发商的精装，从未住过人，小区前排采光好，随时可看,江阴碧桂园白鹭湾 ,高新区, 109.5万,"8,606元/平",3室1厅 , 127.25平米 , 南 , 精装 , 低楼层,共30层, 塔楼
中间楼层，户型方正，位置佳，全天采光,华润置地江湾城 ,澄江街道, 179.8万,"15,743元/平",3室2厅 , 114.21平米 , 南 , 精装 , 中楼层,共27层, 暂无数据
简装 中间楼层 采光好 配套齐全 居住安静 适合养老,蔚蓝滨江 ,澄江街道, 72万,"8,313元/平",2室2厅 , 86.62平米 , 南 , 简装 , 中楼层,共33层, 板塔结合
城南热门三房双阳台，楼间距大，绿化高，采光好,金宸国际花园 ,澄江街道, 168万,"12,429元/平",3室2厅 , 135.17平米 , 南 北 , 精装 , 高楼层,共18层, 暂无数据
该房配套设施齐全，交通便利，采光好，风景佳,南门首府 ,澄江街道, 179.8万,"20,303元/平",2室1厅 , 88.56平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
精装三房 楼层好位置好，户型方正有钥匙随时看房,恒大帝景 ,澄江街道, 135万,"11,746元/平",3室2厅 , 114.94平米 , 南 , 精装 , 高楼层,共33层, 塔楼
春申路晶体管厂宿舍 3室1厅 南,春申路晶体管厂宿舍 ,澄江街道, 125万,"17,386元/平",3室1厅 , 71.9平米 , 南 , 简装 , 中楼层,共5层, 暂无数据
永安一村 3室2厅 南,永安一村 ,澄江街道, 95万,"7,665元/平",3室2厅 , 123.94平米 , 南 , 精装 , 低楼层,共6层, 塔楼
一方城大三带装修 采光好 急售,一方城 ,临港经济开发区, 75.8万,"5,414元/平",3室1厅 , 140.02平米 , 南 , 简装 , 低楼层,共21层, 板楼
楼层好，采光佳，视野开阔，精装修,恒大御景 ,澄江街道, 145万,"11,034元/平",3室2厅 , 131.42平米 , 南 , 精装 , 高楼层,共20层, 暂无数据
蟠龙山公园旁 香樟公馆法式纯洋房 位置好楼层好,香樟公馆 ,高新区, 138万,"9,863元/平",4室2厅 , 139.93平米 , 南 , 毛坯 , 中楼层,共9层, 暂无数据
金色水岸，全新精装修，利用率高,金色水岸 ,澄江街道, 99.8万,"14,002元/平",3室2厅 , 71.28平米 , 南 , 精装 , 高楼层,共6层, 板楼
雅盛城市嘉园东区，采光视野好，纯毛坯 看房方便,雅盛城市嘉园 ,澄江街道, 80万,"9,150元/平",2室2厅 , 87.44平米 , 南 , 毛坯 , 低楼层,共27层, 板楼
好楼层，出脚方便，生活便利，看房提前预约,环城南路406号 ,澄江街道, 75.8万,"9,266元/平",3室1厅 , 81.81平米 , 南 , 简装 , 中楼层,共6层, 暂无数据
精装，拎包入住，两室两厅两卫，采光好，南北通风,阳光假日花园 ,澄江街道, 138万,"13,852元/平",2室2厅 , 99.63平米 , 南 , 精装 , 中楼层,共8层, 暂无数据
楼层好，前后无遮挡采光佳，南北通风，户型方正,弘阳通银棠樾锦园 ,云亭街道, 95万,"9,499元/平",3室2厅 , 100.02平米 , 南 , 毛坯 , 中楼层,共26层, 暂无数据
房子户型好方正，通风效果好，小区绿化很好，环境优雅,弘阳昕悦府 ,云亭街道, 90万,"8,664元/平",3室2厅 , 103.88平米 , 南 , 精装 , 低楼层,共33层, 板塔结合
绿城水岸 5室2厅 南 西 北,绿城水岸 ,云亭街道, 152万,"7,891元/平",5室2厅 , 192.63平米 , 南 西 北 , 毛坯 , 高楼层,共29层, 板塔结合
看房方便，东边上手户，采光好，通透性好,绿城水岸 ,云亭街道, 110万,"8,350元/平",3室2厅 , 131.75平米 , 南 , 毛坯 , 高楼层,共29层, 板塔结合
藏品裕园，毛坯房，房主诚心出售房本满二,藏品裕院 ,云亭街道, 165万,"13,387元/平",3室2厅 , 123.26平米 , 南 北 , 毛坯 , 中楼层,共32层, 塔楼
恒大翡翠精装三居，好楼层，全天采光，随时看,恒大翡翠华庭 ,云亭街道, 128万,"12,676元/平",3室2厅 , 100.98平米 , 南 北 , 精装 , 中楼层,共21层, 板塔结合
新上此房户型方正坐北朝南通透性好交通出行方便,弘阳昕悦府 ,云亭街道, 129万,"8,895元/平",4室2厅 , 145.03平米 , 南 , 毛坯 , 中楼层,共6层, 板塔结合
绿城水岸 5室2厅 南 北,绿城水岸 ,云亭街道, 152万,"7,891元/平",5室2厅 , 192.63平米 , 南 北 , 毛坯 , 高楼层,共29层, 板塔结合
