标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
万达旁广益博苑两居室 中间楼层 精装两居 看房方便,广益博苑一期、二期 ,广益, 80万,"8,652元/平",2室1厅 , 92.47平米 , 南 北 , 精装 , 低楼层,共33层, 板塔结合
2.3号线双地铁宁海里中间层全南户型采光好位置佳,宁海里北区 ,上马墩, 62万,"9,546元/平",2室1厅 , 64.95平米 , 南 , 简装 , 中楼层,共7层, 板楼
塔影二村2楼总价低地铁口好房出行方便,塔影二村 ,上马墩, 50.5万,"11,176元/平",2室1厅 , 45.19平米 , 南 , 简装 , 低楼层,共6层, 板楼
房龄2016年精装修，小区中间位置,孔雀雅园二区 ,扬名, 140万,"17,929元/平",2室1厅 , 78.09平米 , 南 , 精装 , 高楼层,共34层, 板楼
禾嘉苑三楼小单间，总价低，好上学，楼层好,禾嘉苑小区 ,北大街, 58万,"18,753元/平",1室1厅 , 30.93平米 , 南 , 简装 , 中楼层,共5层, 板塔结合
新江南21年新装修三房保养好 书B可用,新江南花园 ,清名桥, 160万,"18,073元/平",3室1厅 , 88.53平米 , 南 北 , 精装 , 中楼层,共7层, 板楼
金宇苑 顶楼带阁楼 大露台 实用面积大,金宇苑小区 ,五爱广场, 145万,"13,409元/平",3室2厅 , 108.14平米 , 南 , 简装 , 高楼层,共6层, 板楼
此房自住的，精装修 看房方便 拎包入住,民丰公寓 ,民丰/庄前, 85万,"11,971元/平",2室1厅 , 71.01平米 , 南 , 精装 , 高楼层,共7层, 板楼
城南世家C区两房，精装修，诚心卖,金科世界城C区 ,中桥, 138万,"16,047元/平",2室2厅 , 86平米 , 南 , 精装 , 低楼层,共34层, 板塔结合
临茂业，靠地铁，楼层佳，无遮挡，南扬菜场家乐福,南扬新村 ,清名桥, 85万,"17,415元/平",2室1厅 , 48.81平米 , 南 , 精装 ,,, 板楼
满五年 中间楼层 明厨明卫 采光不遮挡  诚心出售,白水荡小区 ,三阳广场, 165万,"25,370元/平",2室1厅 , 65.04平米 , 南 , 精装 , 中楼层,共7层, 板楼
塔影二村 1室1厅 南,塔影二村 ,上马墩, 39万,"11,642元/平",1室1厅 , 33.5平米 , 南 , 精装 , 中楼层,共6层, 板楼
吴桥地铁口 金太湖两房 中间楼层 全天采光,金太湖国际城 ,北大街, 125万,"13,942元/平",2室2厅 , 89.66平米 , 南 , 简装 , 中楼层,共34层, 板楼
户型通透，楼层好，采光好 ，卫生间，客厅都带窗 。,中桥二村 ,中桥, 49万,"12,126元/平",1室1厅 , 40.41平米 , 南 , 精装 , 中楼层,共5层, 板楼
红星国际广场，一期不靠高架，精装修，满五唯一,红星国际广场 ,广瑞/广丰, 170万,"13,220元/平",3室2厅 , 128.6平米 , 南 , 精装 , 中楼层,共29层, 板塔结合
南长次新房，后排不靠路，位置安静，中楼层，全天采光,融创运河壹号府二期 ,清名桥, 220万,"20,414元/平",3室2厅 , 107.77平米 , 南 北 , 精装 , 中楼层,共33层, 板楼
上马墩地铁口   塔影二村 一楼 四个院子 诚心出售,塔影二村 ,上马墩, 92万,"15,647元/平",3室1厅 , 58.8平米 , 南 , 精装 , 低楼层,共6层, 板楼
全天采光.看房方便 业主验证房源0....,宁海里北区 ,上马墩, 90万,"10,148元/平",3室1厅 , 88.69平米 , 南 , 精装 , 中楼层,共7层, 板楼
靠惠钱路地铁口，房东诚心出售，采光好，交通便利,惠景家园 ,山北, 73万,"9,236元/平",2室2厅 , 79.04平米 , 南 , 精装 , 低楼层,共34层, 板楼
"精装修双阳台，从未住过,品质小区，诚心出售",融创运河壹号府三期 ,清名桥, 240万,"20,032元/平",3室2厅 , 119.81平米 , 南 , 精装 , 高楼层,共25层, 板楼
古运五爱苑C区一室出售，价格好谈,古运五爱苑C区 ,扬名, 43万,"8,845元/平",1室1厅 , 48.62平米 , 南 , 毛坯 , 高楼层,共6层, 板楼
双南精装，可拎包住，近地铁，生活便利，出行方便,清扬新村 ,清名桥, 66万,"11,639元/平",2室1厅 , 56.71平米 , 南 , 精装 , 中楼层,共7层, 板楼
精装两房 有车位 户型好 采光无挡 急卖,世茂首府 ,北大街, 135万,"15,203元/平",2室2厅 , 88.8平米 , 南 北 , 精装 , 高楼层,共33层, 塔楼
世茂首府景观大三房 带车位业主诚心出售,世茂首府 ,北大街, 165万,"11,549元/平",3室2厅 , 142.87平米 , 南 北 , 毛坯 , 高楼层,共50层, 板楼
清名一村 2室1厅 南,清名一村 ,清名桥, 66万,"13,091元/平",2室1厅 , 50.42平米 , 南 , 简装 , 中楼层,共5层, 板楼
南扬新村二楼 两房朝南 出行方便,南扬新村 ,清名桥, 66万,"12,934元/平",2室1厅 , 51.03平米 , 南 , 毛坯 ,,, 板楼
次新小区 人车分流 远离高架 中间层 采光好 视野开阔,海伦堡·梁溪本源 ,山北, 185万,"13,667元/平",4室2厅 , 135.37平米 , 南 , 毛坯 , 中楼层,共18层, 塔楼
精装两房 中间楼层 采光视野好 满五唯一,世茂首府 ,北大街, 127万,"14,302元/平",2室2厅 , 88.8平米 , 南 北 , 精装 , 中楼层,共50层, 板楼
石子街3楼 永丰路 谈渎桥地铁一号线旁 夹城里 江南可,石子街小区 ,三阳广场, 70万,"13,635元/平",1室1厅 , 51.34平米 , 南 北 , 简装 , 中楼层,共7层, 暂无数据
曹张新村 俩房 中间楼层 扬名可用诚心出售,曹张新村第三社区 ,清名桥, 108万,"18,819元/平",2室1厅 , 57.39平米 , 南 北 , 简装 , 中楼层,共6层, 板楼
3号线 惠龙新村 3楼 精装修 房东诚心出售 价格可以聊,惠龙新村C区84-176号 ,山北, 51万,"12,427元/平",1室1厅 , 41.04平米 , 南 , 精装 , 中楼层,共6层, 板楼
房东诚心出售，格局通透，采光好,仁和英伦皇家花园 ,山北, 129万,"11,417元/平",3室2厅 , 112.99平米 , 南 , 精装 , 高楼层,共6层, 板楼
世茂首府精装两房 满5带车位，业主诚心出售,世茂首府 ,北大街, 112万,"12,937元/平",2室2厅 , 86.58平米 , 南 , 精装 , 中楼层,共50层, 板楼
梁溪运河畔精装大三房拎包入住生活便利,金科世界城C区 ,中桥, 209万,"17,228元/平",3室1厅 , 121.32平米 , 南 , 精装 , 低楼层,共34层, 板楼
锡师 电梯房八佰伴旁 恒通国际大厦 地铁口,恒通国际大厦 ,三阳广场, 185万,"20,171元/平",2室1厅 , 91.72平米 , 南 , 简装 , 中楼层,共21层, 板塔结合
天域景园 小三房 楼层好 精装修,世茂首府 ,北大街, 138万,"15,747元/平",3室2厅 , 87.64平米 , 南 北 , 精装 , 低楼层,共32层, 塔楼
孔雀雅园 洋房区 小高层 中间楼层 采光杠杠好 随时看,孔雀雅园 ,扬名, 135万,"16,675元/平",2室2厅 , 80.96平米 , 南 , 精装 , 中楼层,共25层, 板楼
电梯房，小区新，无抵押，房东诚心出售,古运五爱苑B区 ,扬名, 105万,"12,845元/平",2室1厅 , 81.75平米 , 南 , 精装 , 中楼层,共33层, 板楼
上马墩一村1室1厅精装房诚心出售,上马墩一村 ,上马墩, 50.8万,"8,908元/平",2室1厅 , 57.03平米 , 南 , 精装 , 高楼层,共8层, 板楼
房子精装修  高楼层  精装修小两房,中桥三村 ,中桥, 41万,"9,128元/平",2室1厅 , 44.92平米 , 南 , 精装 , 高楼层,共6层, 板楼
小高层中间楼层，看房方便，自住精装修，满五唯一,康桥丽景 ,北大街, 189万,"13,799元/平",3室2厅 , 136.97平米 , 南 , 精装 , 中楼层,共11层, 塔楼
百岁苑4楼 置煤浜小区内 崇宁路 东林可 看房方便,百岁苑小区 ,三阳广场, 150万,"23,515元/平",2室1厅 , 63.79平米 , 南 , 简装 , 中楼层,共7层, 板楼
楼层好前后无遮挡，婚装自住 视野宽阔 采光充足,惠景家园 ,山北, 45万,"8,405元/平",1室1厅 , 53.54平米 , 南 , 简装 , 低楼层,共34层, 板塔结合
民丰地铁口精装小高层三房 视野好装修保养好 看房方便,吉宝凌云峰阁 ,民丰/庄前, 265万,"21,559元/平",3室2厅 , 122.92平米 , 南 北 , 精装 , 中楼层,共18层, 板楼
沁园新村 双南户型  明厨明卫 满五唯一 精装修 诚心卖,沁园新村北区 ,清名桥, 79.8万,"12,791元/平",2室1厅 , 62.39平米 , 南 , 精装 , 中楼层,共7层, 板楼
