标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
金海里 三房 一楼带yuanzi 看中价格可以谈！,金海里 ,江溪, 110万,"10,808元/平",3室2厅 , 101.78平米 , 南 , 简装 , 低楼层,共7层, 板塔结合
刚需好房，地铁口中邦城市精装两房，满五唯一看房方便,中邦城市花园 ,坊前, 103万,"11,881元/平",2室2厅 , 86.7平米 , 南 , 精装 , 高楼层,共32层, 板楼
阿卡中叠，全明户型，可直观太湖，精装保养好,阿卡迪亚（天骄观邸） ,新安, 288万,"23,366元/平",4室2厅 , 123.26平米 , 南 , 精装 , 中楼层,共5层, 板楼
融创森邻 次新小区 中间楼层 毛坯小三室 诚心出售,融创森邻森邻 ,生态园, 98万,"10,960元/平",3室2厅 , 89.42平米 , 南 北 , 毛坯 , 中楼层,共31层, 塔楼
装修好  采光好  满五唯一，房东诚心出售。,新洲花园 ,生态园, 135万,"10,013元/平",3室2厅 , 134.83平米 , 南 , 精装 , 中楼层,共11层, 塔楼
远离高架，满五唯一税费少，采光保养好,富力城C区 ,江溪, 143万,"16,104元/平",3室2厅 , 88.8平米 , 南 , 精装 , 低楼层,共32层, 板楼
精装修保养好 满五唯一 视野开阔 诚心出售,新城香溢紫峻园 ,江溪, 98万,"13,356元/平",3室2厅 , 73.38平米 , 东南 , 精装 , 中楼层,共31层, 板楼
房子户型很正 三开间朝南 位置好  无遮挡 采光好,融侨观邸二期 ,江溪, 130万,"14,943元/平",3室2厅 , 87平米 , 南 , 精装 , 低楼层,共33层, 板楼
洋房 好楼层 华润江南府 急卖,华润江南府南区 ,东亭, 235万,"20,336元/平",3室2厅 , 115.56平米 , 南 , 精装 , 高楼层,共8层, 板楼
满五唯一 远离高架 诚心出售 楼层好 看房方便,新城香溢紫峻园 ,江溪, 105万,"14,507元/平",3室2厅 , 72.38平米 , 东南 , 精装 , 中楼层,共34层, 板楼
东风家园 精装大单间 诚心出售 看房方便,东风家园 ,塘南, 65万,"8,892元/平",2室1厅 , 73.1平米 , 南 , 精装 , 低楼层,共33层, 板楼
楼层好 采光无遮挡 房东很诚心出售,红旗花园B区 ,江溪, 93万,"7,705元/平",3室2厅 , 120.71平米 , 南 , 简装 , 中楼层,共6层, 板楼
房东诚心急售，价格可谈，朝南保养很好。,中邦·欢乐颂 ,坊前, 35万,"8,975元/平",1室1厅 , 39平米 , 东 , 精装 , 低楼层,共22层, 板楼
太湖花园精装大三房，满五唯一，3号线地铁口,太湖花园一期 ,江溪, 119万,"10,011元/平",3室2厅 , 118.87平米 , 南 , 精装 , 低楼层,共6层, 板楼
