标题,小区,区域,总价,单价,户型,面积,朝向,装修情况,楼层类别,总层数,建筑类型
诚售，看房方便，边套户型。采光好。,瑞景望府 ,安镇, 140万,"14,737元/平",3室2厅 , 95平米 , 东南 , 毛坯 , 低楼层,共26层, 板楼
锡山实小旁   花园叠墅    房东诚售,建发玖里湾4期 ,安镇, 420万,"31,358元/平",4室2厅 , 133.94平米 , 南 , 精装 , 高楼层,共6层, 暂无数据
全屋空调带地暖，精装三房位置好，前排楼栋无遮挡,华润江南府北区 ,东亭, 146万,"16,679元/平",3室2厅 , 87.54平米 , 南 , 精装 , 低楼层,共34层, 板楼
精装小三房  保养好楼层好   看房方便,万业观山泓郡 ,安镇, 156万,"18,263元/平",3室2厅 , 85.42平米 , 南 , 精装 , 中楼层,共33层, 暂无数据
蓝光雍锦园荟聚地铁口 纯毛坯 带车位 诚心出售 随时看,蓝光雍锦园 ,东亭, 138万,"12,739元/平",3室2厅 , 108.33平米 , 南 , 毛坯 , 低楼层,共33层, 板楼
商品房 落地窗 总价低 中间楼层,华夏·春晓 ,东亭, 26万,"6,412元/平",1室1厅 , 40.55平米 , 北 , 精装 , 中楼层,共5层, 板楼
星湖花海，自住婚装，诚心可刀，采光无遮挡 看房方便,星湖花海 ,东北塘, 162万,"14,714元/平",4室2厅 , 110.1平米 , 南 , 精装 , 中楼层,共8层, 塔楼
蔚蓝都市花园，电梯房 复式上下三层 业主诚售,蔚蓝都市花园 ,东亭, 118万,"13,179元/平",3室2厅 , 89.54平米 , 南 , 精装 , 低楼层,共2层, 板塔结合
世纪锦园北 简装大两房 中间楼层 看中还可以谈,华夏世纪锦园北区 ,安镇, 88万,"10,761元/平",2室2厅 , 81.78平米 , 南 , 简装 , 中楼层,共11层, 板楼
东璟家园A区 纯东边套  业主诚心出售,东璟家园A区 ,东亭, 64万,"8,835元/平",2室1厅 , 72.44平米 , 南 北 , 简装 , 中楼层,共27层, 板塔结合
边套带车位，中间楼层三房两卫，纯毛坯，明厨明卫,中梁首府壹号 ,安镇, 155万,"14,962元/平",3室1厅 , 103.6平米 , 南 , 毛坯 , 中楼层,共34层, 板楼
华夏天一旁 边套好楼层  纯人车分流 前面映月湖公园,美的公园天下一期 ,安镇, 229万,"19,674元/平",3室2厅 , 116.4平米 , 南 , 毛坯 , 中楼层,共27层, 板楼
2期精装修交房，无出租过 看房方便 诚心出售,红豆天一华府 ,广益, 265万,"23,857元/平",3室2厅 , 111.08平米 , 南 , 精装 , 高楼层,共25层, 暂无数据
"东亭地铁口,锡州小区大两房,配套成熟,价格可谈",锡州小区 ,东亭, 82万,"9,581元/平",2室2厅 , 85.59平米 , 南 , 简装 , 低楼层,共7层, 板塔结合
红豆香江豪庭，小三房，89平120万，价格可小小小刀,红豆香江豪庭二期 ,安镇, 120万,"13,367元/平",3室2厅 , 89.78平米 , 南 , 毛坯 , 高楼层,共34层, 板楼
蓝光CoCo蜜园精装修拎包入住，满五唯一，采光好,蓝光coco蜜园 ,安镇, 130万,"18,094元/平",3室1厅 , 71.85平米 , 南 , 精装 , 高楼层,共18层, 板楼
恒大绿洲精装小高层 边套两房两卫 通透户型 看房方便,恒大绿洲一期 ,东亭, 130万,"12,985元/平",2室2厅 , 100.12平米 , 南 , 精装 , 高楼层,共18层, 板楼
中隆润熙府 洋房 人车分流 飞机户型急卖,中隆·润熙府 ,安镇, 205万,"18,452元/平",3室1厅 , 111.1平米 , 南 , 毛坯 , 低楼层,共9层, 板楼
豪景东苑 业主诚心出售 装修三房 可随时看房,豪景东苑 ,安镇, 115万,"11,013元/平",3室1厅 , 104.43平米 , 南 北 , 精装 , 高楼层,共15层, 板楼
华润江南府荟聚地铁口 精装修 采光视野开阔 家电全留,华润江南府北区 ,东亭, 166万,"15,515元/平",3室2厅 , 107平米 , 南 北 , 精装 , 高楼层,共34层, 板楼
恒大绿洲二期 精装三房 户型方正 位置安静 视野开阔,恒大绿洲二期 ,东亭, 163万,"13,921元/平",3室2厅 , 117.09平米 , 南 , 精装 , 高楼层,共30层, 板楼
全新毛坯 好楼层 随时看房有钥匙 采光好 视野好,无锡碧桂园B区 ,安镇, 190万,"15,025元/平",3室1厅 , 126.46平米 , 南 , 毛坯 , 中楼层,共26层, 塔楼
精装修大三房房东诚心出售 别墅区后面视野好,华夏世纪锦园南区 ,安镇, 149万,"12,171元/平",3室2厅 , 122.43平米 , 南 , 精装 , 中楼层,共15层, 板楼
精装修，好楼层好视野，拎包入住,龙湖九里香醍北区 ,安镇, 150万,"17,095元/平",3室2厅 , 87.75平米 , 南 , 精装 , 中楼层,共30层, 板楼
长泰国际地铁口边套三房带装修诚心卖,长泰国际社区 ,东亭, 130万,"14,324元/平",3室2厅 , 90.76平米 , 南 , 简装 , 低楼层,共18层, 板楼
万业观山泓郡 3室2厅 南,万业观山泓郡 ,安镇, 183万,"17,335元/平",3室2厅 , 105.57平米 , 南 , 精装 , 中楼层,共27层, 板楼
次新小区环境优美，户型方正楼层好,南山公园大道 ,安镇, 143万,"15,128元/平",3室2厅 , 94.53平米 , 南 , 毛坯 , 高楼层,共16层, 暂无数据
双阳台精装两房 户型方正 好楼层看房随时 急售,金域香颂 ,安镇, 116万,"13,205元/平",2室2厅 , 87.85平米 , 南 , 精装 , 高楼层,共20层, 板楼
精装小三房  中间楼层   房东诚售,蓝光coco蜜园 ,安镇, 130万,"16,925元/平",3室2厅 , 76.81平米 , 南 , 精装 , 中楼层,共23层, 板楼
好楼层 统装 户型方正 钥匙在售 随时看房,恒大绿洲四期 ,东亭, 120万,"14,961元/平",2室2厅 , 80.21平米 , 南 , 精装 , 高楼层,共32层, 板楼
锡山八佰伴旁电梯大两房商品房，精装修采光无遮挡,春江花园C区（锡山） ,东亭, 129万,"13,175元/平",2室2厅 , 97.92平米 , 南 , 简装 , 中楼层,共18层, 板楼
此房楼层好 自住装修保养好  在家眼观映月湖,万业观山泓郡 ,安镇, 179.9万,"17,394元/平",3室2厅 , 103.43平米 , 南 北 , 精装 , 高楼层,共32层, 板楼
还好聊 房东好说话 全天采光好 无遮挡 地铁口,长泰国际社区 ,东亭, 101.6万,"11,450元/平",2室2厅 , 88.74平米 , 南 , 简装 , 高楼层,共25层, 板楼
